语例ID,主语(目标域),谓语(源域),谓语中心词,主语中心词,源域,源域名称,目标域,目标域名称,映射方向,映射方向标签,CFMC源域频次,C_entrench,BCC词频,L_entrench,余弦相似度,Sem_dist,修饰成分,Con_cue,D_reg客观基线,D_trans客观基线,CA客观基线,CA基线等级
xb_01026,社会主义国家,全体人民利益的代表,代表,国家,HM,人体,SC,社会,2,具体→抽象,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_01027,机遇,客观经济规律的阶段性表现,表现,机遇,EC,经济,ST,结构,3,抽象→抽象,129,0.6871,,,,,,,0.2748,,0.1512,1
xb_01028,吉中两国,友好邻邦,邻邦,国,HM,人体,SC,社会,1,具体→具体,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_01029,爆炸事件,恐怖分子蓄意制造的,分子,事件,OB,物体,ST,结构,1,具体→具体,1192,1.0,,,,,,,0.4,,0.22,2
xb_01030,俄罗斯人民,勤劳智慧的伟大人民,人民,人民,HM,人体,ST,结构,2,具体→抽象,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_01031,俄罗斯军队,英勇善战的伟大军队,军队,军队,WR,战争,AB,抽象,1,具体→具体,198,0.7472,,,,,,,0.2989,,0.1644,1
xb_01032,共产党,劳苦人民的救星,救星,共产党,NT,自然,SC,社会,2,具体→抽象,184,0.7369,,,,,,,0.2948,,0.1621,1
xb_01033,毛泽东同志,光辉典范,典范,同志,OB,物体,AB,抽象,4,抽象→具体,1192,1.0,,,,,,,0.4,,0.22,2
xb_01034,崇高精神,高雅艺术健康发展的前提,前提,精神,OB,物体,AB,抽象,3,抽象→抽象,1192,1.0,,,,,,,0.4,,0.22,2
xb_01035,观众,艺术生存的土壤,土壤,观众,OB,物体,AB,抽象,1,具体→具体,1192,1.0,,,,,,,0.4,,0.22,2
xb_01036,外汇,重要资源,资源,外汇,EC,经济,MR,机器,2,具体→抽象,129,0.6871,,,,,,,0.2748,,0.1512,1
xb_01037,优秀的企业家,先进生产力的代表,代表,企业家,HM,人体,SC,社会,4,抽象→具体,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_01038,行业控股公司,特殊资本经营实体,实体,公司,EC,经济,ST,结构,1,具体→具体,129,0.6871,,,,,,,0.2748,,0.1512,1
xb_01039,钢材,紧俏商品,商品,钢材,OB,物体,SC,社会,4,抽象→具体,1192,1.0,,,,,,,0.4,,0.22,2
xb_01040,中尼两国,友好邻邦,邻邦,国,HM,人体,SC,社会,1,具体→具体,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_01041,食物替代的规律,普遍规律,规律,规律,OB,物体,AB,抽象,3,抽象→抽象,1192,1.0,,,,,,,0.4,,0.22,2
xb_01042,雕塑,著名艺术家冈金的杰作,杰作,雕塑,OB,物体,MR,机器,4,抽象→具体,1192,1.0,,,,,,,0.4,,0.22,2
xb_01043,红军老战士的革命精神和崇高品德,宝贵财富,财富,崇高品德,EC,经济,MR,机器,3,抽象→抽象,129,0.6871,,,,,,,0.2748,,0.1512,1
xb_01044,朝鲜人民,勤劳智慧的人民,人民,人民,HM,人体,ST,结构,2,具体→抽象,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_01045,大型企业集团,先进生产力的代表,代表,集团,HM,人体,SC,社会,4,抽象→具体,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_01046,小城镇,外向经济的桥头堡,桥头堡,城镇,EC,经济,AB,抽象,1,具体→具体,129,0.6871,,,,,,,0.2748,,0.1512,1
xb_01047,国旗,伟大祖国的象征,象征,国旗,OB,物体,MR,机器,4,抽象→具体,1192,1.0,,,,,,,0.4,,0.22,2
xb_01048,芭蕾艺术共存共荣,客观规律,规律,共荣,OB,物体,ST,结构,3,抽象→抽象,1192,1.0,,,,,,,0.4,,0.22,2
xb_01049,毛泽东思想,科学真理,真理,思想,OB,物体,TH,思维,3,抽象→抽象,1192,1.0,,,,,,,0.4,,0.22,2
xb_01050,中华民族,勤劳智慧的民族,民族,民族,HM,人体,SC,社会,2,具体→抽象,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_01051,中朝两国,友好邻邦,邻邦,国,HM,人体,SC,社会,1,具体→具体,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_01052,妇联,党和政府联系群众的桥梁和纽带,纽带,妇联,OB,物体,AB,抽象,1,具体→具体,1192,1.0,,,,,,,0.4,,0.22,2
xb_01053,知识分子,先进生产力的开拓者,开拓者,知识分子,HM,人体,TH,思维,1,具体→具体,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_01054,股份合作制企业,独立法人,法人,企业,HM,人体,SC,社会,4,抽象→具体,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_01055,科学技术,直接生产力,生产力,技术,OB,物体,AB,抽象,3,抽象→抽象,1192,1.0,,,,,,,0.4,,0.22,2
xb_01056,国旗,伟大祖国的象征和标志,标志,国旗,OB,物体,MR,机器,4,抽象→具体,1192,1.0,,,,,,,0.4,,0.22,2
xb_01057,我国工人阶级,先进生产力和生产关系的代表,代表,阶级,HM,人体,SC,社会,2,具体→抽象,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_01058,邓小平理论,统一全党思想的坚实思想基础,基础,理论,OB,物体,TH,思维,2,具体→抽象,1192,1.0,,,,,,,0.4,,0.22,2
xb_01059,人才,根本,根本,人才,OB,物体,SC,社会,3,抽象→抽象,1192,1.0,,,,,,,0.4,,0.22,2
xb_01060,成功的经验,宝贵财富,财富,经验,EC,经济,MR,机器,3,抽象→抽象,129,0.6871,,,,,,,0.2748,,0.1512,1
xb_01061,中老两国,友好邻邦,邻邦,国,HM,人体,SC,社会,1,具体→具体,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_01062,科学的理论,客观事物运动内在规律的反映,反映,理论,OB,物体,TH,思维,3,抽象→抽象,1192,1.0,,,,,,,0.4,,0.22,2
xb_01063,企业家,稀缺资源,资源,企业家,EC,经济,MR,机器,4,抽象→具体,129,0.6871,,,,,,,0.2748,,0.1512,1
xb_01064,中华民族,勤劳智慧的民族,民族,民族,HM,人体,SC,社会,2,具体→抽象,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_01065,天然气,洁净能源,能源,天然气,OB,物体,ST,结构,4,抽象→具体,1192,1.0,,,,,,,0.4,,0.22,2
xb_01066,中韩两国,友好邻邦,邻邦,国,HM,人体,SC,社会,1,具体→具体,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_01067,工人阶级,先进生产力和生产关系的代表,代表,阶级,HM,人体,SC,社会,2,具体→抽象,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_01068,药店,特殊商店,商店,药店,OB,物体,ST,结构,1,具体→具体,1192,1.0,,,,,,,0.4,,0.22,2
xb_01069,佛手,珍贵药材,药材,佛手,OB,物体,MR,机器,1,具体→具体,1192,1.0,,,,,,,0.4,,0.22,2
xb_01070,中国人民,勤劳智慧、非常能干的人民,人民,人民,HM,人体,LF,光线,2,具体→抽象,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_01071,邓小平理论,科学真理,真理,理论,OB,物体,TH,思维,3,抽象→抽象,1192,1.0,,,,,,,0.4,,0.22,2
